,id,carat,cut,color,clarity,depth,table,x,y,z,price
162,162,0.59,5,5,3,61.3,56.0,5.41,5.43,3.32,7.545
163,163,2.01,4,3,3,61.5,60.0,8.12,8.01,4.96,9.711
164,164,2.0,1,3,2,65.0,57.0,8.01,7.96,5.19,9.171
165,165,1.11,3,7,2,61.6,61.0,6.61,6.66,4.09,8.318999999999999
166,166,1.01,4,6,2,62.6,60.0,6.35,6.37,3.98,8.392999999999999
167,167,0.95,2,7,4,57.7,58.0,6.47,6.52,3.75,8.57
168,168,2.13,4,4,2,62.4,56.0,8.26,8.19,5.13,9.454
169,169,0.39,3,6,7,60.8,57.0,4.72,4.75,2.88,7.0089999999999995
170,170,1.0,3,6,2,62.6,58.0,6.31,6.37,3.97,8.314
171,171,1.7,5,7,2,61.6,57.0,7.63,7.57,4.68,9.12
172,172,0.31,5,8,5,61.1,55.0,4.37,4.4,2.68,6.652
173,173,0.33,5,8,6,61.1,56.0,4.46,4.44,2.72,6.928999999999999
174,174,0.53,4,8,4,60.4,58.0,5.26,5.23,3.17,7.579
175,175,1.11,4,7,2,61.6,61.0,6.66,6.61,4.09,8.337
176,176,1.01,4,7,5,62.9,60.0,6.43,6.33,4.01,8.918
177,177,0.3,5,5,5,61.7,57.0,4.32,4.3,2.66,6.654
178,178,1.0,4,8,2,59.4,60.0,6.56,6.48,3.87,8.439
179,179,0.3,4,2,4,60.6,59.0,4.38,4.34,2.64,6.159
180,180,0.23,4,8,6,58.9,60.0,4.03,3.95,2.35,6.534
181,181,1.51,5,3,6,61.6,58.0,7.35,7.4,4.54,9.289
182,182,0.61,5,4,4,62.5,54.0,5.43,5.45,3.4,7.372000000000001
183,183,1.01,3,5,4,61.5,56.0,6.41,6.47,3.96,8.658999999999999
184,184,0.4,4,8,4,62.5,59.0,4.72,4.66,2.93,6.957000000000001
185,185,0.35,4,4,5,61.7,59.0,4.51,4.53,2.79,6.42
186,186,0.33,3,5,3,61.1,59.0,4.42,4.45,2.71,6.1979999999999995
187,187,0.92,3,4,5,61.7,62.0,6.2,6.12,3.8,8.349
188,188,0.31,5,8,3,62.4,56.0,4.31,4.35,2.7,6.347
189,189,0.3,4,7,4,62.6,62.0,4.25,4.21,2.65,6.669
190,190,1.0,2,7,4,63.3,59.0,6.29,6.34,4.0,8.697000000000001
191,191,0.3,3,8,4,62.5,59.0,4.23,4.28,2.66,6.565
192,192,0.9,4,5,2,60.4,58.0,6.25,6.3,3.79,8.145
193,193,0.5,3,5,5,61.3,58.0,5.03,5.09,3.1,7.372999999999999
194,194,0.7,5,5,4,62.9,56.0,5.7,5.65,3.57,7.773
195,195,1.71,5,4,4,61.9,57.0,7.67,7.61,4.73,9.171
196,196,0.34,5,7,3,61.4,54.0,4.53,4.5,2.77,6.64
197,197,0.32,5,8,5,61.1,56.0,4.44,4.47,2.72,6.561
198,198,0.32,3,6,5,60.0,62.0,4.44,4.49,2.68,6.682
199,199,0.9,3,4,4,62.6,58.0,6.14,6.22,3.87,8.291
200,200,0.57,5,3,4,61.9,57.0,5.3,5.33,3.29,7.251
201,201,1.0,4,6,3,62.1,59.0,6.36,6.39,3.96,8.529
202,202,0.5,4,6,4,62.1,58.0,5.1,5.01,3.14,7.4110000000000005
203,203,1.19,3,5,3,62.8,57.0,6.71,6.77,4.23,8.72
204,204,0.5,1,8,3,64.6,58.0,5.0,4.97,3.22,7.188
205,205,1.61,5,3,3,62.4,55.0,7.49,7.52,4.68,9.234
206,206,0.38,5,6,8,61.5,56.0,4.67,4.7,2.88,7.1
207,207,0.39,4,6,4,62.4,58.0,4.65,4.61,2.89,6.959
208,208,1.31,5,6,5,61.9,54.0,7.03,7.06,4.35,9.302
209,209,0.7,2,8,5,60.4,63.0,5.73,5.76,3.47,8.041
210,210,0.5,5,4,7,61.4,57.0,5.08,5.11,3.12,7.428999999999999
211,211,0.5,5,7,3,62.3,56.0,5.06,5.12,3.17,7.251
212,212,0.39,5,4,6,62.1,54.3,4.63,4.69,2.9,6.749
213,213,0.4,5,3,7,63.0,55.0,4.7,4.73,2.97,6.672000000000001
214,214,0.33,3,8,6,59.5,56.0,4.51,4.56,2.7,6.837999999999999
215,215,0.32,4,5,4,61.5,59.0,4.4,4.42,2.71,6.33
216,216,0.62,3,7,2,58.8,63.0,5.58,5.61,3.29,7.393
217,217,0.4,2,7,3,63.2,56.0,4.65,4.69,2.95,6.532
218,218,1.51,4,4,3,62.8,60.0,7.22,7.14,4.51,8.957
219,219,0.37,5,6,6,60.5,60.0,4.65,4.67,2.82,6.775
220,220,0.8,4,7,3,61.2,60.0,5.97,5.95,3.65,7.977
221,221,0.54,4,8,4,61.1,55.0,5.37,5.24,3.24,7.597
222,222,1.27,3,2,5,63.4,60.0,6.85,6.8,4.33,8.646
223,223,0.71,4,2,4,62.8,61.0,5.71,5.63,3.56,7.559
224,224,0.4,4,8,3,61.6,58.0,4.73,4.69,2.9,6.898
225,225,0.9,3,7,4,62.9,57.0,6.16,6.18,3.88,8.429
226,226,1.7,4,5,2,62.2,59.0,7.68,7.6,4.75,8.911
227,227,0.23,5,5,5,61.9,54.0,3.93,3.95,2.44,6.001
228,228,0.34,4,4,5,60.8,59.0,4.53,4.48,2.74,6.64
229,229,0.9,3,5,2,63.5,57.0,6.09,6.13,3.88,8.117
230,230,0.31,4,8,5,59.6,58.0,4.38,4.41,2.62,6.526
231,231,1.12,3,4,2,62.9,58.0,6.55,6.62,4.14,8.411
232,232,0.43,5,8,3,61.5,56.0,4.82,4.87,2.98,6.721
233,233,0.39,5,5,6,61.7,54.2,4.69,4.75,2.91,6.859
234,234,1.57,4,3,2,62.4,58.0,7.41,7.37,4.61,8.984
235,235,0.3,5,7,7,61.2,57.0,4.32,4.34,2.65,6.731
236,236,1.7,3,3,4,63.0,58.0,7.52,7.65,4.78,9.3
237,237,0.25,3,8,6,62.1,57.0,4.02,4.07,2.51,6.306
238,238,0.96,3,7,4,58.7,58.0,6.47,6.51,3.81,8.699
239,239,1.15,4,4,4,60.2,58.0,6.86,6.8,4.11,8.555
240,240,0.64,5,6,6,60.9,56.0,5.57,5.59,3.4,8.076
241,241,0.4,5,6,4,62.6,54.0,4.73,4.78,2.98,6.737
242,242,0.3,3,6,8,62.1,57.0,4.26,4.3,2.66,6.787000000000001
243,243,0.59,5,5,5,62.1,55.0,5.35,5.4,3.34,7.558
244,244,0.3,2,4,2,63.9,57.0,4.27,4.24,2.72,6.184
245,245,0.4,3,8,3,63.0,59.0,4.69,4.7,2.96,6.537000000000001
246,246,0.39,3,5,4,63.4,57.0,4.67,4.63,2.95,6.917000000000001
247,247,0.7,3,3,3,63.8,56.0,5.58,5.62,3.57,7.587000000000001
248,248,0.72,5,6,3,62.1,55.0,5.73,5.8,3.58,7.8
249,249,1.31,4,3,5,62.8,57.0,6.98,6.9,4.36,8.658999999999999
250,250,1.51,5,5,5,62.1,55.0,7.38,7.33,4.57,9.546
251,251,0.6,1,7,2,66.5,56.0,5.31,5.21,3.5,6.94
252,252,0.81,5,6,3,61.8,55.0,6.04,6.0,3.72,8.008
253,253,1.0,3,7,3,59.6,60.0,6.43,6.48,3.85,8.585
254,254,0.9,5,8,3,62.1,57.0,6.18,6.25,3.86,8.417
255,255,0.72,5,8,4,62.1,54.0,5.76,5.81,3.59,8.146
256,256,1.0,3,4,2,60.8,60.0,6.44,6.49,3.93,8.411
257,257,1.29,4,3,2,61.1,62.0,7.0,6.94,4.26,8.363999999999999
258,258,0.41,4,7,3,61.4,56.0,4.81,4.77,2.94,6.876
259,259,3.4,1,8,1,66.8,52.0,9.42,9.34,6.27,9.677999999999999
260,260,1.1,3,8,3,60.7,55.0,6.71,6.74,4.08,8.757
261,261,0.38,5,4,6,62.1,53.9,4.64,4.69,2.9,6.724
262,262,0.32,5,7,4,61.4,56.0,4.45,4.41,2.72,6.644
263,263,1.66,5,2,2,60.8,57.0,7.68,7.65,4.66,8.76
264,264,0.41,5,5,5,61.5,56.0,4.79,4.77,2.94,6.867999999999999
265,265,1.0,4,5,2,60.7,59.0,6.45,6.41,3.9,8.139
266,266,1.01,3,8,2,61.8,57.0,6.42,6.47,3.98,8.357000000000001
267,267,0.77,4,8,5,59.4,59.0,6.0,5.96,3.55,8.286
268,268,1.01,3,7,3,62.3,56.0,6.36,6.42,3.98,8.583
269,269,0.3,5,5,8,62.2,56.0,4.26,4.29,2.66,6.745
270,270,0.71,5,6,2,62.2,56.0,5.71,5.74,3.56,7.742000000000001
271,271,0.27,4,7,7,60.6,58.0,4.18,4.2,2.54,6.433
272,272,0.8,3,6,2,59.7,56.0,6.05,6.11,3.63,7.849
273,273,1.16,4,6,2,62.1,59.0,6.76,6.71,4.18,8.549
274,274,0.28,5,4,5,62.3,55.0,4.21,4.24,2.63,6.176
275,275,0.33,2,3,3,63.2,58.0,4.36,4.38,2.76,6.098
276,276,0.51,5,6,5,60.4,56.0,5.18,5.21,3.14,7.4270000000000005
277,277,1.0,3,3,5,61.1,59.9,6.37,6.41,3.9,8.519
278,278,0.43,4,5,4,61.2,58.0,4.84,4.9,2.98,6.765
279,279,0.35,5,8,3,61.6,57.0,4.54,4.55,2.8,6.468
280,280,0.38,4,8,3,59.1,58.0,4.74,4.77,2.81,6.454
281,281,1.52,3,2,7,63.6,56.0,7.26,7.33,4.64,9.169
282,282,2.01,4,4,2,62.3,58.0,8.06,8.11,5.04,9.666
283,283,2.51,5,4,3,62.9,56.0,8.65,8.61,5.43,9.637
284,284,1.55,5,7,6,62.5,55.0,7.38,7.4,4.62,9.809
285,285,0.35,5,7,7,61.9,56.0,4.55,4.53,2.81,6.874
286,286,0.52,3,4,7,63.9,59.0,5.08,5.1,3.25,7.417000000000001
287,287,1.22,5,5,7,61.1,56.0,6.91,6.94,4.23,9.295
288,288,0.33,4,7,5,61.6,58.0,4.41,4.45,2.73,6.6610000000000005
289,289,0.32,3,3,6,63.0,57.0,4.33,4.37,2.74,6.33
290,290,1.26,5,2,3,62.0,56.0,6.93,6.9,4.29,8.594
291,291,0.81,2,8,2,63.6,55.0,5.91,5.86,3.74,7.981
292,292,0.54,4,4,5,62.6,59.0,5.19,5.22,3.26,7.377999999999999
293,293,0.3,4,5,5,61.8,60.0,4.29,4.32,2.66,6.405
294,294,1.3,4,6,5,61.0,59.0,7.05,7.08,4.31,9.299
295,295,0.32,5,7,4,62.1,56.0,4.4,4.43,2.74,6.553999999999999
296,296,0.54,4,5,5,61.1,59.0,5.22,5.26,3.2,7.47
297,297,0.32,4,3,4,62.6,58.0,4.37,4.42,2.75,6.107
298,298,0.31,5,4,4,61.5,54.0,4.35,4.4,2.69,6.25
299,299,0.32,5,5,5,61.2,56.0,4.45,4.41,2.71,6.718999999999999
300,300,0.42,4,4,5,61.6,58.0,4.82,4.79,2.96,6.9910000000000005
301,301,0.34,5,7,4,61.8,57.0,4.48,4.52,2.78,6.545
302,302,0.42,4,8,2,62.0,59.0,4.83,4.78,2.98,6.7589999999999995
303,303,0.55,4,7,2,59.7,58.0,5.33,5.35,3.19,7.146
304,304,0.55,4,4,4,60.2,59.0,5.36,5.24,3.19,7.235
305,305,2.1,5,4,3,61.7,53.0,8.3,8.19,5.09,9.618
306,306,0.53,5,3,3,61.5,54.0,5.22,5.26,3.22,6.945
307,307,1.03,5,8,6,62.0,56.0,6.46,6.55,4.03,9.19
308,308,0.45,4,5,7,60.1,58.0,4.97,4.95,2.98,7.188
309,309,1.0,5,7,4,59.6,57.0,6.43,6.42,3.83,8.877
310,310,0.72,5,8,5,61.6,56.0,5.73,5.8,3.55,8.167
311,311,0.3,3,7,4,61.8,58.0,4.26,4.28,2.64,6.489
312,312,1.02,4,8,2,59.7,60.0,6.58,6.55,3.92,8.556000000000001
313,313,0.5,2,6,4,63.2,56.0,5.01,5.05,3.18,7.27
314,314,0.23,3,7,5,59.6,65.0,3.95,3.97,2.36,5.935
315,315,0.51,4,7,5,61.9,58.0,5.1,5.15,3.17,7.513
316,316,1.74,4,3,3,58.7,60.0,7.9,7.84,4.62,9.307
317,317,1.02,4,6,3,62.5,56.0,6.44,6.35,4.0,8.494
318,318,1.05,4,7,3,62.5,59.0,6.5,6.43,4.04,8.691
319,319,0.3,4,7,3,60.6,56.0,4.37,4.35,2.64,6.515
320,320,1.5,2,2,2,60.9,62.0,7.3,7.32,4.45,8.817
321,321,2.43,4,2,4,62.2,57.0,8.63,8.54,5.34,9.836
322,322,0.82,3,2,3,62.9,57.0,5.88,5.94,3.72,7.746
323,323,1.71,5,2,5,62.1,55.0,7.73,7.65,4.78,9.368
324,324,0.36,5,4,7,62.3,56.0,4.57,4.54,2.84,6.959
325,325,0.55,5,5,5,60.9,55.0,5.34,5.37,3.26,7.596
326,326,0.41,4,3,6,62.1,58.0,4.78,4.76,2.96,6.9670000000000005
327,327,0.29,3,4,5,62.2,56.0,4.24,4.27,2.64,6.096
328,328,0.33,5,4,4,61.2,55.0,4.45,4.47,2.73,6.256
329,329,0.53,3,5,3,61.0,55.0,5.21,5.32,3.21,7.106
330,330,1.51,5,6,5,62.1,56.0,7.38,7.34,4.57,9.712
331,331,0.91,3,4,4,62.6,57.0,6.15,6.21,3.87,8.501
332,332,1.06,4,3,5,61.2,57.1,6.56,6.59,4.03,8.622
333,333,0.7,4,7,3,60.5,58.0,5.77,5.74,3.48,7.928999999999999
334,334,0.52,5,5,6,61.0,56.0,5.18,5.24,3.18,7.555
335,335,0.91,3,4,5,62.7,63.0,6.1,6.03,3.8,8.264
336,336,1.01,5,5,4,62.0,54.9,6.41,6.44,3.99,8.748
337,337,0.31,3,3,5,62.8,57.0,4.28,4.32,2.7,6.192
338,338,2.28,2,2,3,63.7,55.0,8.35,8.28,5.3,9.572000000000001
339,339,0.26,5,4,5,62.2,55.0,4.06,4.11,2.54,6.136
340,340,1.1,3,4,4,61.3,58.0,6.63,6.74,4.1,8.685
341,341,0.42,5,5,6,62.7,56.0,4.77,4.74,2.98,7.006
342,342,0.31,3,8,3,62.9,57.0,4.27,4.32,2.7,6.347
343,343,1.18,4,4,2,58.7,60.0,7.01,6.93,4.09,8.508
344,344,0.32,5,8,3,61.9,57.0,4.4,4.36,2.71,6.627999999999999
345,345,0.31,5,8,6,61.9,57.0,4.31,4.35,2.68,6.641
346,346,1.12,4,4,3,61.6,59.0,6.63,6.67,4.1,8.568999999999999
347,347,0.33,5,5,4,62.8,54.0,4.42,4.4,2.77,6.611000000000001
348,348,2.0,5,7,2,62.2,57.0,8.11,8.09,5.04,9.72
349,349,0.91,5,3,6,60.6,57.0,6.25,6.27,3.79,8.447000000000001
350,350,0.32,5,8,4,62.0,55.0,4.38,4.42,2.73,6.631
351,351,2.0,3,4,3,62.8,57.0,7.95,8.0,5.01,9.842
352,352,1.41,4,5,3,59.5,59.0,7.35,7.3,4.36,9.078
353,353,0.71,5,7,4,62.2,57.0,5.79,5.62,3.55,7.928999999999999
354,354,1.07,5,2,3,62.1,56.0,6.54,6.6,4.08,8.361
355,355,0.73,5,5,3,61.9,55.0,5.76,5.8,3.58,8.036
356,356,1.27,3,4,4,62.6,57.0,6.91,6.95,4.34,8.951
357,357,0.35,4,4,7,62.1,58.0,4.52,4.46,2.79,6.931
